weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.58,0.03,0.41,0.75
0.59,0.02,0.72,0.34
0.59,0,0.87,0.64
0.59,0.01,0.45,0.79
0.59,0,0.74,0.86
0.57,0,0.39,0.4
0.58,0,0.71,0.17
0.6,0.01,0.37,0.05
0.6,0,0.2,0.5
0.59,0.02,0.12,0.22
0.58,0.01,0.07,0.08
0.57,0.02,0.55,0.51
0.58,0.01,0.79,0.72
0.57,0.02,0.41,0.33
0.56,0.02,0.22,0.13
0.62,0.01,0.37,0.04
1.34,0.45,0.67,0.01
3,1.78,0.82,0.54
5.03,3.59,0.89,1.3
7.32,5.56,1.93,1.68
9.88,9.78,2.95,2.37
12.63,12.25,3.96,3.22
15.36,14.72,4.46,4.14
17.87,17.04,5.22,5.1
20.42,19.46,6.09,6.08
22.93,21.83,7.03,7.07
25.36,24.03,8,7.57
27.84,26.23,8.98,8.31
30.21,28.53,9.98,9.19
32.58,30.8,10.97,10.63
35.16,33.2,11.97,11.84
37.9,35.64,12.97,13.45
40.92,38.17,14.47,14.26
44.13,43.74,15.72,15.66
47.31,46.7,17.34,17.36
50.31,49.52,18.66,18.71
53.4,52.28,19.81,20.39
56.41,55.02,21.39,21.22
59.25,57.59,23.18,22.14
62.13,60.18,24.07,23.6
64.97,62.9,26.02,25.33
67.71,65.48,27,26.7
70.58,68.1,27.98,28.38
73.53,70.8,29.98,29.72
76.61,73.58,31.97,31.39
80.02,79.75,33.47,33.23
83.56,82.97,35.22,35.14
86.94,86.12,36.59,37.1
90.1,89.07,38.78,38.08
93.14,91.91,40.38,39.57
96.24,94.75,41.17,41.32
99.27,97.6,42.57,43.19
102.18,100.63,43.77,44.13
103.66,103.08,43.87,44.59
103.49,103.43,44.42,44.83
103.08,102.9,44.19,44.45
102.71,102.49,44.08,44.25
102.4,101.86,44.03,44.66
102.15,101.58,44,44.36
101.93,101.34,44.48,43.71
101.74,101.11,44.23,43.39
