weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.01,0.0,0.03,0.71
0.0,0.02,0.03,0.75
0.0,0.0,0.03,0.76
0.01,0.0,0.47,0.77
0.01,0.0,0.72,0.78
0.0,0.0,0.84,0.78
0.01,0.0,0.91,0.28
0.03,0.0,0.94,0.53
0.02,0.0,0.45,0.16
0.01,0.0,0.71,0.03
0.01,0.01,0.84,0.37
0.02,0.03,0.9,0.08
0.02,0.03,0.44,0.07
0.01,0.02,0.2,0.14
0.01,0.02,0.09,0.32
0.0,0.02,0.03,0.05
0.0,0.0,0.0,0.42
0.01,0.0,0.48,0.1
0.01,0.01,0.73,0.44
0.01,0.01,1.35,0.61
0.01,0.0,0.66,0.7
0.01,0.01,0.31,0.74
0.0,0.01,0.64,0.26
0.0,0.02,0.3,0.02
0.0,0.03,0.14,0.4
0.0,0.02,0.05,0.09
0.01,0.01,0.51,0.44
0.01,0.01,0.24,0.11
0.01,0.01,0.6,0.45
0.0,0.02,0.29,0.61
0.0,0.0,0.13,0.2
0.01,0.0,0.05,0.49
0.01,0.01,0.01,0.64
0.01,0.02,0.01,0.71
0.01,0.02,0.02,0.74
0.01,0.02,0.47,0.26
0.01,0.02,0.72,0.02
0.02,0.01,0.85,0.1
0.0,0.0,0.41,0.34
0.0,0.02,0.19,0.06
0.02,0.0,0.08,0.08
0.04,0.05,0.02,0.85
0.76,0.74,0.0,1.32
2.44,2.43,0.52,1.55
4.43,4.51,1.27,1.67
6.57,6.64,2.15,2.22
8.91,8.82,2.59,2.5
11.47,11.08,3.31,3.14
14.42,13.54,4.17,4.46
17.72,16.37,5.1,5.62
20.99,19.44,6.07,6.2
24.16,22.33,6.55,6.99
27.43,25.23,6.79,7.89
30.65,31.14,7.91,8.83
33.74,33.92,8.97,9.81
36.9,36.84,10.0,10.79
39.91,39.73,11.02,11.79
42.87,42.49,12.02,12.78
46.07,45.43,13.03,13.78
49.47,48.5,14.53,15.28
53.09,51.76,15.78,16.53
56.88,55.24,16.91,17.66
60.6,58.84,17.97,19.22
64.21,62.28,19.0,20.5
67.8,65.71,21.02,22.14
71.19,72.29,22.02,23.46
74.5,75.38,23.53,25.12
77.97,78.7,24.78,26.45
81.25,81.93,25.91,27.62
84.49,85.09,27.47,29.2
88.02,88.45,29.25,30.49
91.62,91.81,30.64,32.14
95.37,95.26,32.34,33.96
99.46,99.09,34.68,35.37
103.61,103.09,36.36,36.58
107.6,106.99,37.69,38.68
111.31,110.73,39.36,40.23
114.98,117.74,40.7,42.01
118.52,121.04,41.86,43.39
122.2,124.59,43.95,44.59
125.53,127.88,44.99,45.68
126.55,129.05,45.01,45.73
126.07,128.53,45.02,45.76
125.58,127.97,45.03,45.77
125.17,127.51,45.03,45.28
124.82,127.12,45.03,45.03
124.51,126.76,44.53,44.9
124.24,126.44,44.28,45.34
123.99,126.15,44.16,45.56
