weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2
0.01,0.01,0.05,0.57
0.01,0.01,0.41,0.27
0,0.02,0.14,0.12
0.01,0.01,0.5,0.55
0,0,0.69,0.26
0.01,0.01,0.28,0.12
0.01,0.01,0.07,0.55
0.01,0.01,0.47,0.26
0.09,0.11,0.67,0.12
0.92,0.91,0.77,0.45
3,2.62,1.32,0.74
5.81,4.9,1.59,1.38
8.93,7.46,2.23,1.7
12.15,10.15,3.05,2.86
15.26,12.85,3.46,3.44
18.23,15.47,4.66,4.23
21.21,20.6,5.77,5.13
24.08,23.16,6.32,5.58
26.93,25.74,7.09,5.8
29.91,28.37,7.98,6.91
33.11,31.11,8.92,7.97
36.54,33.96,9.9,9.5
40.23,37.04,10.88,10.26
44.02,40.39,12.38,11.14
47.63,43.72,14.12,12.58
51.14,46.8,15,13.8
54.71,49.95,16.43,14.91
58.14,53.1,17.15,15.97
61.4,58.99,18.51,17.5
64.76,62.07,19.69,18.26
67.97,65.12,21.28,19.14
71.32,68.27,22.57,20.58
74.95,71.5,24.22,21.8
78.84,74.79,25.54,23.41
82.95,78.32,26.71,25.22
87.23,82.13,28.79,26.62
91.57,86.1,30.83,28.32
95.76,89.9,32.85,29.67
99.95,93.68,34.86,31.35
103.96,97.45,36.86,32.69
107.85,100.98,37.87,34.36
111.86,108.11,39.87,36.19
115.68,111.58,41.37,38.11
119.56,115.18,43.62,40.07
123.7,118.92,45.74,41.54
127.91,122.67,47.81,43.78
132.45,126.69,50.34,45.9
137.33,131.07,52.6,47.96
142.26,135.58,54.74,50.49
147.05,140.07,56.8,52.26
151.43,144.25,59.84,54.14
155.81,148.14,61.85,55.58
160.14,152.12,64.36,57.8
164.53,160.06,66.11,59.91
168.16,163.31,66.49,60.47
168.92,163.82,66.68,60.75
168.25,163.07,67.27,60.39
167.64,162.42,67.07,60.2
167.16,161.86,66.97,60.11
166.72,161.38,66.42,60.07
166.34,160.96,66.14,60.05
165.99,160.56,66.01,60.04
