weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,label
124.6,108.1,17.2,43.7,295.9,296.6,0,0,0.4757177,0.10826631,0.8084308,0.30977008,0.818071,0.67937976,0.48980203,0.9383049,0.15567386,0.69202787,0.45947453,0.23637329,0.45145392,0.3891715,0.44608742,0.5208432,0.45512247,0.6501435,0.4711454,0.7948121,0.5114724,0.80553406,0.52314335,0.65508294,0.5288168,0.5283393,0.5179736,0.3995705,0.49991158,0.2518946,banana
124.4,107.9,16.7,40.6,297.4,297.7,0,0,0.4754904,0.10511054,0.8095411,0.311839,0.81869656,0.67961866,0.4907544,0.93867815,0.15676053,0.6913826,0.45886046,0.23524004,0.45068622,0.38855422,0.44548059,0.5201258,0.45498165,0.64933497,0.47161663,0.7941247,0.5123142,0.8051617,0.5239157,0.65468866,0.5294164,0.5278492,0.51830727,0.39890215,0.49998307,0.25076154,banana
122.4,109.8,15.8,38.6,292.5,292.1,0,0,0.47374582,0.1077255,0.80620605,0.31004888,0.81729,0.68011636,0.49007013,0.93619955,0.1546839,0.69266856,0.45757186,0.235498,0.45005754,0.3883512,0.44515043,0.52037555,0.45448363,0.64988935,0.47090217,0.79428744,0.51145893,0.8051357,0.5225756,0.6549121,0.5278551,0.52812016,0.51664454,0.3991635,0.49830005,0.25123012,banana
122.4,110.4,15.8,44.8,277.5,278.5,0,0,0.47430798,0.11070599,0.8050936,0.3069791,0.81580937,0.6776925,0.48827922,0.93620306,0.15417404,0.6950056,0.45800966,0.23632555,0.45008874,0.38881496,0.44472584,0.52080077,0.453512,0.6502771,0.46933803,0.79490477,0.509214,0.80553097,0.5200708,0.6552181,0.5255506,0.5282985,0.515012,0.3992451,0.4975782,0.25192437,banana
105.8,127.1,19.1,50.1,283.9,284.3,0,0,0.47458097,0.11415889,0.8042014,0.3282738,0.8142038,0.68102354,0.48948637,0.9340988,0.15499027,0.69092155,0.45591658,0.23746285,0.44774556,0.38913572,0.44285074,0.52016324,0.45252404,0.64904404,0.4691726,0.7931905,0.50937074,0.80672354,0.51830864,0.6578934,0.5228432,0.53075033,0.51221985,0.40103677,0.49614292,0.25348112,banana
123.5,108.2,17.9,44.9,294.4,293.8,0,0,0.47503227,0.10939083,0.8081794,0.30685806,0.81746566,0.6777417,0.48957276,0.93683815,0.15638544,0.69247204,0.45919323,0.23621203,0.45146412,0.38904032,0.44608957,0.52061737,0.45511615,0.64971185,0.4711491,0.7941644,0.5109634,0.8044636,0.52243966,0.65435463,0.5279712,0.52769226,0.5171692,0.3990388,0.4992677,0.2518127,banana
123.8,107,30.2,42.4,291.4,289.4,0,0,0.4750572,0.1082529,0.80728847,0.29681,0.81703484,0.6756185,0.4886771,0.93552786,0.1568739,0.6958574,0.4602833,0.23595154,0.45290977,0.38912937,0.44737536,0.5211469,0.45584998,0.6502723,0.47121823,0.7940181,0.5104594,0.802807,0.52276677,0.6527429,0.5288096,0.52640474,0.5182303,0.39814916,0.5001998,0.25094986,banana
123,109.4,17.1,41.3,294.1,293.8,0,0,0.47428754,0.10708359,0.8055031,0.2996543,0.81596214,0.6761168,0.48822588,0.93528306,0.15500343,0.695781,0.4592167,0.23567885,0.45167008,0.38875607,0.4462339,0.521048,0.45473266,0.6504208,0.47026202,0.7943262,0.5098183,0.8032379,0.52191204,0.652968,0.5279042,0.52669454,0.51719874,0.398394,0.49908507,0.25086442,banana
117.6,114.2,17.6,48.1,284,283.9,0,0,0.47440428,0.11272223,0.8046626,0.32464132,0.8144313,0.6808731,0.4890798,0.93566364,0.15449215,0.69182944,0.4560374,0.23721431,0.4477239,0.38926384,0.44269854,0.5203858,0.45230854,0.64939386,0.4689417,0.79390377,0.509262,0.8067835,0.5187193,0.6574666,0.52350175,0.5302622,0.5128899,0.4006266,0.4964208,0.25301683,banana
122.7,109.2,17.4,46,294.9,295.3,0,0,0.47405168,0.10869538,0.806755,0.3070688,0.81650686,0.677768,0.48961687,0.9363164,0.15610904,0.6922477,0.45818216,0.23581587,0.45045358,0.38887703,0.4451979,0.52035695,0.45448807,0.6493441,0.47089848,0.7938044,0.5107408,0.80402017,0.52198213,0.65401465,0.52733403,0.5273523,0.51639265,0.39867195,0.49839655,0.2513832,banana
124.7,107.2,28.1,42.9,294.2,294.1,0,0,0.47465822,0.10815711,0.80720145,0.29800203,0.8166801,0.67577755,0.48863864,0.93539196,0.15706223,0.69527996,0.4596087,0.23567186,0.45210946,0.38895804,0.44658923,0.52086985,0.45525733,0.6499632,0.4708866,0.7938776,0.51032037,0.8028933,0.52244073,0.652856,0.5283606,0.52637625,0.517748,0.39796817,0.49972364,0.25079256,banana
103.4,129,21.7,46.3,262.5,262.6,0,0,0.47321168,0.11517171,0.80403423,0.32632706,0.81368506,0.67999756,0.48837993,0.93056077,0.153783,0.69219834,0.45572883,0.23795429,0.44820067,0.38920853,0.44342613,0.52037925,0.45273742,0.6494759,0.4687794,0.7933697,0.5084229,0.805874,0.51765776,0.6569342,0.52246803,0.5299424,0.51183766,0.40078145,0.4952651,0.2537491,banana
122,109.8,16.7,42,282.4,282.6,0,0,0.47404483,0.10983161,0.8039264,0.30097374,0.81457883,0.6764987,0.48752075,0.9338168,0.15482125,0.69700336,0.4586169,0.23620705,0.4509792,0.38901243,0.4455304,0.521359,0.45396262,0.6507228,0.4693749,0.79455453,0.5087117,0.80415934,0.5202432,0.6540828,0.5261095,0.5276672,0.5156066,0.39906204,0.4979756,0.25161892,banana
119.9,113.7,17.1,44.7,298.6,300.3,0,0,0.4737039,0.11091859,0.8052042,0.32569948,0.8145715,0.68164647,0.48867273,0.9370593,0.15488486,0.69017285,0.45562053,0.23681942,0.44724768,0.38904378,0.442271,0.5199367,0.45207053,0.6488765,0.46881595,0.793646,0.50922155,0.80667055,0.5192646,0.6570324,0.5242101,0.52991384,0.5133713,0.40054196,0.49617252,0.25288627,banana
